NAME;FORMULA;MASS;CHARGE
H2O;H2O;18,0106;0
H+;H;1,0078;1
ATP;C10H16N5O13P3;506,9957;0
NAD+;C21H28N7O14P2;664,1169;1
3-Phospho-D-glyceroyl phosphate;C3H8O10P2;265,9593;0
beta-D-Fructose 6-phosphate;C6H13O9P;260,0297;0
Glycerone phosphate;C3H7O6P;169,9980;0
ADP;C10H15N5O10P2;427,0294;0
NADH;C21H29N7O14P2;665,1248;0
alpha-D-Glucose 6-phosphate;C6H13O9P;260,0297;0
3-Phospho-D-glycerate;C3H7O7P;185,9929;0
2-Phospho-D-glycerate;C3H7O7P;185,9929;0
alpha-D-Glucose;C6H12O6;180,0634;0
Phosphoenolpyruvate;C3H5O6P;167,9824;0
Orthophosphate;H3PO4;97,9769;0
beta-D-Fructose 1,6-bisphosphate;C6H14O12P2;339,9960;0
D-Glyceraldehyde 3-phosphate;C3H7O6P;169,9980;0
Pyruvate;C3H4O3;88,0160;0
